generation,rank_1,rank_2,swapAccepted
354000,3,4,1
355000,1,3,1
356000,2,3,1
357000,2,3,1
358000,3,4,1
359000,1,2,1
360000,1,4,1
361000,1,3,1
362000,2,4,1
363000,3,4,1
364000,1,2,1
365000,2,3,1
366000,1,2,1
367000,1,2,1
368000,1,4,1
369000,3,4,1
370000,2,4,1
371000,1,4,0
372000,1,4,0
373000,1,4,1
374000,3,4,1
375000,1,4,1
376000,2,3,1
377000,1,2,1
378000,2,4,0
379000,3,4,1
380000,1,2,1
381000,1,2,1
382000,3,4,1
383000,1,3,1
384000,1,3,1
385000,1,2,1
386000,1,3,1
387000,2,4,1
388000,3,4,1
389000,3,4,0
390000,3,4,1
391000,1,4,1
392000,1,2,0
393000,1,3,0
394000,1,4,0
395000,1,4,1
396000,1,4,1
397000,3,4,1
398000,1,4,0
399000,1,3,0
400000,2,4,1
401000,1,2,1
402000,3,4,1
403000,2,3,0
404000,2,3,1
405000,1,3,1
406000,2,3,1
407000,1,2,1
408000,1,2,1
409000,2,4,1
410000,1,4,1
411000,1,4,1
412000,2,4,1
413000,3,4,1
414000,3,4,1
415000,1,3,1
416000,2,4,1
417000,2,4,1
418000,1,4,0
419000,2,4,1
420000,1,2,1
421000,1,2,1
422000,1,2,1
423000,1,4,1
424000,3,4,1
425000,1,2,0
426000,2,4,0
427000,3,4,1
428000,2,3,1
429000,2,4,1
430000,3,4,0
431000,1,4,0
432000,1,2,1
433000,3,4,1
434000,3,4,1
435000,2,4,0
436000,2,4,0
437000,1,3,1
438000,3,4,1
439000,2,3,0
440000,3,4,1
441000,1,3,1
442000,3,4,1
443000,2,4,1
444000,1,3,1
445000,3,4,1
446000,2,4,1
447000,1,2,1
448000,1,4,0
449000,2,4,1
450000,3,4,1
451000,1,4,1
452000,1,2,0
453000,1,3,0
454000,3,4,1
455000,1,4,0
456000,3,4,1
457000,1,3,0
458000,1,2,1
459000,1,4,0
460000,1,4,0
461000,1,2,1
462000,1,3,0
463000,3,4,1
464000,3,4,1
465000,1,4,0
466000,2,4,0
467000,1,3,1
468000,1,4,1
469000,1,4,1
470000,1,2,1
471000,1,2,1
472000,1,3,1
473000,2,3,1
474000,2,4,1
475000,1,4,1
476000,1,3,1
477000,1,3,0
478000,1,3,1
479000,2,3,0
480000,1,4,0
481000,1,2,1
482000,1,3,1
483000,3,4,1
484000,1,3,1
485000,1,3,1
486000,3,4,1
487000,2,4,0
488000,3,4,1
489000,2,4,1
490000,2,4,1
491000,2,3,1
492000,1,3,1
493000,1,4,0
494000,1,3,0
495000,2,4,1
496000,3,4,1
497000,1,3,0
498000,3,4,0
499000,2,3,1
500000,2,4,1
501000,2,3,1
502000,3,4,1
503000,1,4,1
504000,2,3,1
505000,1,3,1
506000,1,2,1
507000,2,3,1
508000,2,4,1
509000,1,3,1
510000,3,4,1
511000,1,3,1
512000,2,4,1
513000,2,4,1
514000,1,4,1
515000,2,3,1
516000,2,3,1
517000,1,2,1
518000,2,3,1
519000,1,3,1
520000,1,2,1
521000,1,4,1
522000,3,4,1
523000,1,2,1
524000,1,3,1
525000,2,3,1
526000,1,3,1
527000,2,4,1
528000,1,3,1
529000,2,4,1
530000,1,2,1
531000,1,4,1
532000,1,2,1
533000,1,4,0
534000,1,2,1
535000,2,4,1
536000,3,4,1
537000,2,4,1
538000,1,2,0
539000,2,4,1
540000,2,4,1
541000,1,3,0
542000,3,4,0
543000,3,4,1
544000,1,3,1
545000,1,2,1
546000,1,4,1
547000,3,4,1
548000,1,2,1
549000,1,4,1
550000,1,2,1
551000,1,4,1
552000,1,4,1
553000,2,3,1
554000,2,3,1
555000,2,3,1
556000,2,3,1
557000,2,4,1
558000,1,4,1
559000,2,3,1
560000,1,2,1
561000,1,3,1
562000,1,2,1
563000,2,3,1
564000,2,3,1
565000,2,3,1
566000,2,3,1
567000,2,4,1
568000,1,2,1
569000,3,4,1
570000,1,3,1
571000,2,4,1
572000,1,4,1
573000,1,3,0
574000,1,3,1
575000,2,3,1
576000,1,2,1
577000,1,3,1
578000,3,4,1
579000,1,4,1
580000,1,2,1
581000,2,4,1
582000,1,4,1
583000,1,4,1
584000,2,3,1
585000,1,3,1
586000,3,4,0
587000,2,3,1
588000,1,4,1
589000,1,3,0
590000,2,4,0
591000,2,4,1
592000,1,3,0
593000,2,3,0
594000,2,3,1
595000,2,4,1
596000,1,2,1
597000,1,3,1
598000,2,3,1
599000,3,4,0
600000,1,3,1
601000,2,4,0
602000,3,4,1
603000,2,4,1
604000,1,2,1
605000,2,3,1
606000,1,3,1
607000,2,3,1
608000,3,4,1
609000,1,3,1
610000,1,4,1
611000,1,2,1
612000,2,4,1
613000,1,3,1
614000,1,4,0
615000,2,3,0
616000,1,2,1
617000,1,4,0
618000,2,3,0
619000,3,4,1
620000,2,4,1
621000,2,3,1
622000,3,4,1
623000,1,3,1
624000,3,4,1
625000,1,4,1
626000,1,4,1
627000,1,2,1
628000,3,4,1
629000,1,2,1
630000,2,4,1
631000,1,3,1
632000,1,4,1
633000,1,4,1
634000,1,4,1
635000,1,4,1
636000,1,3,1
637000,3,4,1
638000,2,3,1
639000,2,3,1
640000,1,3,1
641000,3,4,1
642000,3,4,1
643000,2,3,1
644000,2,4,1
645000,1,2,1
646000,2,4,1
647000,2,3,1
648000,3,4,1
